segment_id,heat_demand_p_m2
STR_001,49.20020101189303
STR_002,47.73808170542507
STR_003,45.13688260853245
STR_004,43.88908416620177
STR_005,43.065295225099796
STR_006,44.071348438391794
STR_007,44.548541224161426
STR_008,45.09696670469256
STR_009,38.64064736583227
STR_010,28.489851345073635
STR_011,13.507208648633332
STR_012,0.0
STR_013,0.0
STR_014,0.0
STR_015,0.0
STR_016,0.0
STR_017,5.68480773648
STR_018,29.748476365226665
STR_019,37.7317163764469
STR_020,43.74202390640115
STR_021,46.641312440436394
STR_022,46.48940861177314
STR_023,41.80945455115506
STR_024,42.00050162457174
STR_025,45.800382371851924
STR_026,48.7354055048584
STR_027,50.77678313937747
STR_028,54.17742347024028
STR_029,51.69478916115778
STR_030,50.97320436242593
STR_031,52.13711997254286
STR_032,43.7527716081625
STR_033,25.3671903161
STR_034,34.64156546637647
STR_035,38.34984392860322
STR_036,41.693738719617144
STR_037,43.15176267521842
STR_038,41.2070163311449
STR_039,42.40112285581724
STR_040,43.408413107631034
STR_041,45.142685837066665
STR_042,44.55889064407857
STR_043,50.76666111462857
STR_044,40.73441475431111
STR_045,30.503456846083335
STR_046,22.13304071874
STR_047,22.13304071874
STR_048,21.41464986636
STR_049,21.40570089210625
STR_050,24.73260984445417
STR_051,29.034954845369448
STR_052,31.94079909891944
STR_053,34.709554786764286
STR_054,47.399188331029684
STR_055,50.35436691434334
STR_056,51.56122755826941
STR_057,54.21969832250706
STR_058,52.72641041051839
STR_059,51.558132282495
STR_060,51.63944567523125
STR_061,51.44396237219131
STR_062,55.17241940314062
STR_063,54.10522095590667
STR_064,13.181259027
STR_065,2.54051436288
STR_066,2.54051436288
STR_067,2.54051436288
STR_068,2.54051436288
STR_069,5.31106599121
STR_070,5.31106599121
STR_071,5.31106599121
STR_072,5.31106599121
STR_073,5.31106599121
STR_074,0.0
STR_075,30.123259527840002
STR_076,31.529075401900002
STR_077,29.490148930669232
STR_078,28.456589368638888
STR_079,34.61342570177587
STR_080,39.770698445952505
STR_081,43.27765256767222
