segment_id,start_chainage_m,end_chainage_m,segment_length_m,centroid_lon,centroid_lat,azimuth_deg,pvout_annual,heat_demand_p_m2,deflection_deg,is_curved,near_station,crossing_count,building_dist_m,trains_per_day,trains_per_saturday,trains_per_sunday,in_lsg,excluded,pvout_norm,heat_norm,building_norm,traffic_norm,curve_norm,crossing_norm,weight_pvout,weight_heat,weight_building,weight_curve,weight_traffic,weight_crossing,crossing_penalty,sei_base,sei_score,rank,sei_tier
STR_060,11800,12000.0,200.0,9.024571,48.867396,281.76,1165.512939453125,51.63944567523125,0.03,False,False,0,18.13,76,68,36,False,False,1.0,0.9359648576928591,0.9753852024996422,1.0,0.9989550679205852,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.9683286326044099,0.9683286326044099,1.0,A
STR_062,12200,12400.0,200.0,9.019201,48.867497,256.41,1165.512939453125,55.17241940314062,2.42,False,False,0,211.09,76,68,36,False,False,1.0,1.0,0.515145732958069,1.0,0.9157088122605364,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.9143095265129821,0.9143095265129821,2.0,A
STR_059,11600,11800.0,200.0,9.027242,48.867037,278.89,1165.512939453125,51.558132282495,6.18,True,False,0,16.55,76,68,36,False,False,1.0,0.9344910525993739,0.9791537470781854,1.0,0.7847439916405434,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.9089812479338686,0.9089812479338686,3.0,A
STR_058,11400,11600.0,200.0,9.029885,48.867205,249.69,1165.512939453125,52.72641041051839,7.42,True,False,0,26.77,76,68,36,False,False,1.0,0.9556660915166791,0.9547774650574822,1.0,0.7415534656913967,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.9032410916641538,0.9032410916641538,4.0,A
STR_030,5800,6000.0,200.0,9.08851,48.859643,297.98,1161.8599853515625,50.97320436242593,4.76,True,False,0,40.57,76,68,36,False,False,0.7435622777325507,0.9238892351261352,0.9218623288651433,1.0,0.834204110066179,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.8710071694005423,0.8710071694005423,5.0,A
STR_022,4200,4400.0,200.0,9.096021,48.8498,71.25,1161.4949951171875,46.48940861177314,1.33,False,True,0,21.99,76,68,36,False,False,0.7179399288744163,0.8426204454091203,0.9661785049849735,1.0,0.9536746778126088,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.8699544205711047,0.8699544205711047,6.0,A
STR_056,11000,11200.0,200.0,9.034967,48.868316,261.85,1164.781982421875,51.56122755826941,10.43,True,False,0,25.17,76,68,36,False,False,0.9486867475041776,0.9345471544670805,0.9585937127319563,1.0,0.6367119470567746,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.8575381702927252,0.8575381702927252,7.0,A
STR_054,10600,10800.0,200.0,9.040237,48.868975,276.11,1164.781982421875,47.39918833102968,8.44,True,False,0,30.53,76,68,36,False,False,0.9486867475041776,0.8591102011439349,0.9458092830224681,1.0,0.7060257749912923,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.841804607558929,0.841804607558929,8.0,A
STR_061,12000,12200.0,200.0,9.021888,48.867692,273.62,1165.512939453125,51.44396237219131,10.62,True,False,0,117.84,76,68,36,False,False,1.0,0.9324217231855328,0.737561417736011,1.0,0.6300940438871474,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.834248560656149,0.834248560656149,9.0,A
STR_055,10800,11000.0,200.0,9.037566,48.868812,252.58,1164.781982421875,50.35436691434334,10.66,True,False,0,76.08,76,68,36,False,False,0.9486867475041776,0.9126728075201461,0.8371654820397844,1.0,0.6287008011145943,1.0,0.15440098059350177,0.4406123068836363,0.12870298486304704,0.2762837103104838,1.734933111337176e-08,0.0,1.0,0.8300585389613979,0.8300585389613979,10.0,A
